                        domain                         |       ip        
 www.sonymusic.co.jp                                   | 13.112.208.8
 *.areffect.sonymobile.com                             | 13.112.240.63
 *.mobility-ai.sony.net                                | 13.112.227.67
 *.sonyged.com                                         | 13.112.21.110
 www.sonymusic.co.jp                                   | 13.112.134.254
 fido2.sony-blockchain.net                             | 13.113.139.27
 fintech-fido2.sony-blockchain.net                     | 13.113.131.22
 *.ebookstore.sony.jp                                  | 13.113.133.139
 *.dan.dev.biv.sony.tv                                 | 54.70.158.79
 www.sonymusic.co.jp                                   | 13.113.150.176
 stef-fido2.sony-blockchain.net                        | 52.68.239.157
 fido-test.sony-blockchain.net                         | 52.69.255.107
 *.lw2.dev.biv.sony.tv                                 | 54.69.95.57
 *.retail.me.sony.com                                  | 54.69.120.115
 *.sonyged.com                                         | 52.69.227.220
 web132rva.sonylife.co.jp                              | 13.114.215.52
 *.sonyged.com                                         | 52.69.35.54
 *.tracking.sonymobile.com                             | 52.57.128.72
 stage-portals.sonypictures.com                        | 54.68.160.223
 sptaws-alb.spe.sony.com                               | 54.68.170.120
 qa.concierge.support.sony.net                         | 54.68.239.64
 *.lw2.dev.biv.sony.tv                                 | 54.68.203.213
 spheconnectaws.spe.sony.com                           | 54.70.109.78
 *.swupd.sonymobile.com                                | 52.44.113.144
 *.sonya.com                                           | 54.93.98.59
 spheconnectaws-dev.spe.sony.com                       | 54.71.13.33
 *.sonynms.com                                         | 54.71.57.148
 spe-gigya-services-qa.sonypicturessro.com             | 54.183.210.79
 *.sonyliv.com                                         | 52.76.175.157
 drm-proxy.sonypicturessro.com                         | 52.76.233.183
 *.sony.jp                                             | 54.95.39.77
 api.dev.spot.app.sony.jp                              | 54.95.158.223
 www.sonymusic.co.jp                                   | 54.95.63.231
 fido-test.sony-blockchain.net                         | 54.95.189.253
 *.sagent.sonymobile.com                               | 54.212.90.172
 *.biv.sony.tv                                         | 54.212.111.34
 drm-proxy-qa.sonypicturessro.com                      | 3.124.135.65
 stage-portals.sonypictures.com                        | 54.213.161.167
 *.acm.account.sony.com                                | 54.213.176.48
 *.tracking.sonymobile.com                             | 3.125.200.221
 productionlogik.spe.sony.com                          | 54.69.252.105
 *.swupd.sonymobile.com                                | 52.45.97.224
 *.sonyliv.com                                         | 52.76.192.147
 *.sonyliv.com                                         | 52.76.166.226
 *.sonyliv.com                                         | 52.76.197.148
 *.sonyliv.com                                         | 52.76.176.202
 ma.sonybank.net                                       | 52.76.159.46
 *.sonyliv.com                                         | 52.76.136.98
 *.sonyliv.com                                         | 52.76.223.40
 *.sonyliv.com                                         | 52.76.240.160
 *.mobility-ai.sony.net                                | 54.95.187.197
 *.erabu.sony.tv                                       | 54.213.87.113
 keyserver-qa.sonypicturessro.com                      | 54.183.251.135
 *.sonymaexpress.org                                   | 52.0.233.75
 *.social.sc.sonymobile.com                            | 52.208.46.221
 *.social.sc.sonymobile.com                            | 52.208.84.162
 www.sonyxdeveurope.com                                | 52.213.163.179
 3d-creator.sonymobile.com                             | 52.210.227.111
 *.idd-config.sonymobile.com                           | 52.208.69.67
 producttestersnl.sony.eu                              | 52.210.187.17
 *.lifelog-dev.sonymobile.com                          | 52.209.165.233
 esstracking-receiver.test.swups.sonymobile.com        | 52.209.57.40
 prod-helpapp.sonymobile.com                           | 52.212.153.20
 *.indevice.sonymobile.com                             | 52.212.141.228
 *.flashgordon.sonymobile.com                          | 52.212.55.151
 *.lifelog.sonymobile.com                              | 52.213.168.238
 developer.sony.com                                    | 52.214.214.73
 *.dev.gaus.sonymobile.com                             | 52.214.126.220
 developer.sony.com                                    | 52.215.16.164
 *.pen.stage.biv.sony.tv                               | 52.209.2.175
 pa01.sonyvfactory.com                                 | 52.209.133.197
 *.social.sc.sonymobile.com                            | 52.212.13.170
 csl.sony.fr                                           | 52.210.152.25
 webservices2.sony.eu                                  | 52.211.238.162
 *.pen.stage.biv.sony.tv                               | 52.213.3.63
 *.pen.stage.biv.sony.tv                               | 52.213.41.129
 *.dev.gaus.sonymobile.com                             | 52.214.200.243
 nh-data.sony.co.jp                                    | 52.54.18.9
 *.sonyliv.com                                         | 52.74.169.155
 *.swupd.sonymobile.com                                | 52.215.122.108
 *.sonyliv.com                                         | 52.74.20.125
 *.sonyliv.com                                         | 52.74.111.115
 *.sony.jp                                             | 54.168.176.218
